#20        /15000 episodes , avg train score : -7.8, test score: 0.2 n_buffer : 1401
#40        /15000 episodes , avg train score : -11.6, test score: -2.0 n_buffer : 3177
#60        /15000 episodes , avg train score : -2.4, test score: -2.0 n_buffer : 5177
/home/vivianchen/Desktop/workspace/ma_gym_dataset/scripts/maddpg.py:35: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /opt/conda/conda-bld/pytorch_1670525493953/work/torch/csrc/utils/tensor_new.cpp:230.)
  torch.tensor(a_lst, dtype=torch.float), \
#5220      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#5240      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#5260      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#5280      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#5300      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#5320      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#5340      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#5360      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#5380      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#5400      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#5420      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#5440      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#5460      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#5480      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#5500      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#5520      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#5540      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#5560      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#5580      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#5600      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#5620      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#5640      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#5660      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#5680      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#5700      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#5720      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#5740      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#5760      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#5780      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#5800      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#5820      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#5840      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#5860      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#5880      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#5900      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#5920      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#5940      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#5960      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#5980      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#6000      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#6020      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#6040      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#6060      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#6080      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#6100      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#6120      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#6140      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
